# 1 Minute Academy topics catalog
# Generated: 2026-01-01T00:00:01.000Z
# Site: http://localhost:5173
# Format: TSV
id	title	description	url	subject	subcategory	is_free	updatedAt
ai--ai-and-creativity--t-ai-art-that-won-a-prize	AI Art That Won a Prize	A 60-second lesson on AI Art That Won a Prize.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-art-that-won-a-prize	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-as-a-musical-collaborator	AI as a Musical Collaborator	A tiny lesson with a big payoff: AI as a Musical Collaborator.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-as-a-musical-collaborator	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-dj-infinite-personalized-playlists	AI DJ: Infinite Personalized Playlists	A tiny lesson with a big payoff: AI DJ: Infinite Personalized Playlists.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-dj-infinite-personalized-playlists	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-generated-faces-that-don-t-exist	AI-Generated Faces That Don't Exist	A micro-lesson that makes AI-Generated Faces That Don't Exist usable.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-generated-faces-that-don-t-exist	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-generated-visual-effects	AI-Generated Visual Effects	A 60-second lesson on AI-Generated Visual Effects.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-generated-visual-effects	AI & Agents	AI and Creativity	free	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-generated-voice-clones-in-music	AI-Generated Voice Clones in Music	A quick, practical guide to AI-Generated Voice Clones in Music.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-generated-voice-clones-in-music	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-journalism-who-wrote-this-article	AI Journalism: Who Wrote This Article?	A short lesson to help you apply AI Journalism: Who Wrote This Article?.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-journalism-who-wrote-this-article	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-npcs-with-real-conversations	AI NPCs with Real Conversations	A 60-second lesson on AI NPCs with Real Conversations.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-npcs-with-real-conversations	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-poetry-beauty-without-meaning	AI Poetry: Beauty Without Meaning?	A quick, practical guide to AI Poetry: Beauty Without Meaning?.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-poetry-beauty-without-meaning	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
ai--ai-and-creativity--t-ai-poetry-pattern-or-passion	AI Poetry: Pattern or Passion?	A quick win: understand AI Poetry: Pattern or Passion?.	http://localhost:5173/topic/ai--ai-and-creativity--t-ai-poetry-pattern-or-passion	AI & Agents	AI and Creativity	pro	2026-01-01T00:00:01.000Z
